t,sim,$x$,$y$,$z$,V,control_input,state,status
0.11,1,4.247235298156738,1.2005207538604736,-9.506061553955078,0.0485997200012207,"[-2.6301117e+01 -5.1094196e+01 -4.9582979e-01 -2.1643700e-02
  2.7730551e-02 -1.1312802e+00]","[ 0.05673613 -4.935792   -9.949386    0.          0.          0.
  0.         -0.03067121 -0.03912321 -0.02239275 -0.22377415  0.01955525
  0.80573505  0.          0.          0.          0.          0.
  0.        ]",active
0.11,2,9.616204261779785,1.6420472860336304,2.4808273315429688,0.048361167311668396,"[-6.4513306e+01 -3.3029766e+01 -1.0000000e+02 -4.6734384e-01
  2.8722765e-02 -1.2533351e+00]","[ 0.04541975 -4.9554625  -9.923169    0.          0.          0.
  0.         -0.02228047 -0.02566776 -0.03955314 -0.46787694  0.01823744
  0.64921886  0.          0.          0.          0.          0.
  0.        ]",active
0.11,3,7.983699321746826,7.44293212890625,-7.169544696807861,0.054855361580848694,"[-5.1982033e+01 -1.0000000e+02 -4.5219092e+00 -3.1382170e-02
  2.2215696e-02 -9.4085735e-01]","[ 0.04753708 -4.94619    -9.930877    0.          0.          0.
  0.         -0.02381257 -0.03179799 -0.03406648 -0.4531493   0.01840165
  0.68604463  0.          0.          0.          0.          0.
  0.        ]",active
0.12,0,-2.6516220569610596,-4.422457218170166,-4.298510551452637,0.043322544544935226,"[ 12.8332815   -8.703978   -40.156605    -0.49354511   0.04105042
   0.77277565]","[-0.02247782 -5.0348506  -9.909457    0.          0.          0.
  0.          0.01908754  0.01496254 -0.05036048  0.22215033  0.01916136
 -0.54373103  0.          0.          0.          0.          0.
  0.        ]",active
0.12,1,4.242714881896973,1.1905473470687866,-9.506346702575684,0.04857367277145386,"[-2.4643217e+01 -4.5787693e+01 -3.9234051e-01 -1.8105818e-02
  2.6983051e-02 -1.1528696e+00]","[ 0.05673613 -4.935792   -9.949386    0.          0.          0.
  0.         -0.03067121 -0.03912321 -0.02239275 -0.22377415  0.01955525
  0.80573505  0.          0.          0.          0.          0.
  0.        ]",active
0.12,2,9.605903625488281,1.634463906288147,2.4693450927734375,0.04828780144453049,"[-6.0488125e+01 -2.9604101e+01 -8.5788429e+01 -4.5986527e-01
  2.7852090e-02 -1.3790992e+00]","[ 0.04541975 -4.9554625  -9.923169    0.          0.          0.
  0.         -0.02228047 -0.02566776 -0.03955314 -0.46787694  0.01823744
  0.64921886  0.          0.          0.          0.          0.
  0.        ]",active
0.12,3,7.97482442855835,7.431449890136719,-7.1721625328063965,0.05479196459054947,"[-4.8727074e+01 -1.0000000e+02 -3.5706341e+00 -1.7352488e-02
  2.1550152e-02 -9.4174927e-01]","[ 0.04753708 -4.94619    -9.930877    0.          0.          0.
  0.         -0.02381257 -0.03179799 -0.03406648 -0.4531493   0.01840165
  0.68604463  0.          0.          0.          0.          0.
  0.        ]",active
0.13,0,-2.649186849594116,-4.424799919128418,-4.309933662414551,0.04333115369081497,[ 12.100502   -7.809074  -31.769192   -0.5272343   0.040066    0.897826 ],"[-0.02247782 -5.0348506  -9.909457    0.          0.          0.
  0.          0.01908754  0.01496254 -0.05036048  0.22215033  0.01916136
 -0.54373103  0.          0.          0.          0.          0.
  0.        ]",active
0.13,1,4.237919807434082,1.1800405979156494,-9.506636619567871,0.04854847490787506,"[-2.3081713e+01 -4.1005604e+01 -3.0955723e-01 -1.5008877e-02
  2.6263941e-02 -1.1748569e+00]","[ 0.05673613 -4.935792   -9.949386    0.          0.          0.
  0.         -0.03067121 -0.03912321 -0.02239275 -0.22377415  0.01955525
  0.80573505  0.          0.          0.          0.          0.
  0.        ]",active
0.13,2,9.594929695129395,1.6265357732772827,2.4568190574645996,0.048216283321380615,"[-5.6698925e+01 -2.6519165e+01 -6.8466721e+01 -4.4167191e-01
  2.7003581e-02 -1.5149217e+00]","[ 0.04541975 -4.9554625  -9.923169    0.          0.          0.
  0.         -0.02228047 -0.02566776 -0.03955314 -0.46787694  0.01823744
  0.64921886  0.          0.          0.          0.          0.
  0.        ]",active
0.13,3,7.965406894683838,7.418923854827881,-7.174827575683594,0.05472707003355026,"[-4.5662888e+01 -1.0000000e+02 -2.8109529e+00 -5.8032572e-03
  2.0910356e-02 -9.5110261e-01]","[ 0.04753708 -4.94619    -9.930877    0.          0.          0.
  0.         -0.02381257 -0.03179799 -0.03406648 -0.4531493   0.01840165
  0.68604463  0.          0.          0.          0.          0.
  0.        ]",active
0.14,0,-2.6466176509857178,-4.4272332191467285,-4.321775913238525,0.04334187135100365,"[ 11.414228    -7.0027094  -25.049263    -0.5549387    0.03912978
   1.0368693 ]","[-0.02247782 -5.0348506  -9.909457    0.          0.          0.
  0.          0.01908754  0.01496254 -0.05036048  0.22215033  0.01916136
 -0.54373103  0.          0.          0.          0.          0.
  0.        ]",active
0.14,1,4.232867240905762,1.1690559387207031,-9.506930351257324,0.048524048179388046,"[-2.1611015e+01 -3.6696259e+01 -2.4334055e-01 -1.2297099e-02
  2.5561137e-02 -1.1971750e+00]","[ 0.05673613 -4.935792   -9.949386    0.          0.          0.
  0.         -0.03067121 -0.03912321 -0.02239275 -0.22377415  0.01955525
  0.80573505  0.          0.          0.          0.          0.
  0.        ]",active
0.14,2,9.583324432373047,1.6182986497879028,2.4433975219726562,0.04814697802066803,"[-5.3131763e+01 -2.3741047e+01 -5.4607651e+01 -4.0950894e-01
  2.6170721e-02 -1.6411018e+00]","[ 0.04541975 -4.9554625  -9.923169    0.          0.          0.
  0.         -0.02228047 -0.02566776 -0.03955314 -0.46787694  0.01823744
  0.64921886  0.          0.          0.          0.          0.
  0.        ]",active
0.14,3,7.955480575561523,7.405354022979736,-7.177529811859131,0.05466055870056152,"[-4.2778416e+01 -9.1303711e+01 -2.2046564e+00  3.6638125e-03
  2.0297674e-02 -9.7091323e-01]","[ 0.04753708 -4.94619    -9.930877    0.          0.          0.
  0.         -0.02381257 -0.03179799 -0.03406648 -0.4531493   0.01840165
  0.68604463  0.          0.          0.          0.          0.
  0.        ]",active
0.15,0,-2.6439220905303955,-4.429748058319092,-4.333949565887451,0.043354522436857224,"[ 10.771393    -6.275829   -19.664923    -0.57262254   0.03822357
   1.1882303 ]","[-0.02247782 -5.0348506  -9.909457    0.          0.          0.
  0.          0.01908754  0.01496254 -0.05036048  0.22215033  0.01916136
 -0.54373103  0.          0.          0.          0.          0.
  0.        ]",active
0.15,1,4.227573871612549,1.15764319896698,-9.507227897644043,0.048500340431928635,"[-2.0225868e+01 -3.2813023e+01 -1.9036733e-01 -9.9238362e-03
  2.4872854e-02 -1.2197638e+00]","[ 0.05673613 -4.935792   -9.949386    0.          0.          0.
  0.         -0.03067121 -0.03912321 -0.02239275 -0.22377415  0.01955525
  0.80573505  0.          0.          0.          0.          0.
  0.        ]",active
0.15,2,9.571126937866211,1.609784722328186,2.4292612075805664,0.04807930812239647,"[-4.9773479e+01 -2.1239115e+01 -4.3519642e+01 -3.6504567e-01
  2.5360292e-02 -1.7531257e+00]","[ 0.04541975 -4.9554625  -9.923169    0.          0.          0.
  0.         -0.02228047 -0.02566776 -0.03955314 -0.46787694  0.01823744
  0.64921886  0.          0.          0.          0.          0.
  0.        ]",active
0.15,3,7.945077419281006,7.390740394592285,-7.180261611938477,0.05459323897957802,"[-4.0063221e+01 -8.1964912e+01 -1.7212039e+00  1.1731169e-02
  1.9703623e-02 -9.9272537e-01]","[ 0.04753708 -4.94619    -9.930877    0.          0.          0.
  0.         -0.02381257 -0.03179799 -0.03406648 -0.4531493   0.01840165
  0.68604463  0.          0.          0.          0.          0.
  0.        ]",active
0.16,0,-2.6411073207855225,-4.432336330413818,-4.3463850021362305,0.04336905851960182,[ 10.169154   -5.620373  -15.3504925  -0.5757674   0.0373836   1.3484875],"[-0.02247782 -5.0348506  -9.909457    0.          0.          0.
  0.          0.01908754  0.01496254 -0.05036048  0.22215033  0.01916136
 -0.54373103  0.          0.          0.          0.          0.
  0.        ]",active
0.16,1,4.222054958343506,1.1458474397659302,-9.507527351379395,0.04847728833556175,"[-1.8921316e+01 -2.9313822e+01 -1.4800790e-01 -7.8547793e-03
  2.4210855e-02 -1.2425692e+00]","[ 0.05673613 -4.935792   -9.949386    0.          0.          0.
  0.         -0.03067121 -0.03912321 -0.02239275 -0.22377415  0.01955525
  0.80573505  0.          0.          0.          0.          0.
  0.        ]",active
0.16,2,9.558375358581543,1.6010229587554932,2.4145548343658447,0.048012860119342804,"[-4.6611706e+01 -1.8985840e+01 -3.4649395e+01 -3.1132779e-01
  2.4567720e-02 -1.8477412e+00]","[ 0.04541975 -4.9554625  -9.923169    0.          0.          0.
  0.         -0.02228047 -0.02566776 -0.03955314 -0.46787694  0.01823744
  0.64921886  0.          0.          0.          0.          0.
  0.        ]",active
0.16,3,7.93422794342041,7.375173568725586,-7.183016300201416,0.054525282233953476,"[-3.7507355e+01 -7.3553101e+01 -1.3359487e+00  1.8630814e-02
  1.9130701e-02 -1.0147744e+00]","[ 0.04753708 -4.94619    -9.930877    0.          0.          0.
  0.         -0.02381257 -0.03179799 -0.03406648 -0.4531493   0.01840165
  0.68604463  0.          0.          0.          0.          0.
  0.        ]",active
